normalized_title_data,normalized_abstract_data,labels
method for promoting wound healing,"the present invention discloses a method for treating wounds and for accelerating the healing of wounds by administering an effective amount of a pharmaceutical composition containing type vii collagen protein, mini-c7 protein, variants thereof or any combinations thereof. the pharmaceutical composition may be administered through a variety of routes including intravenous injection, topical application, or oral ingestion. the method may further include administering a genetically modified fibroblast capable of expressing type vii collagen protein, minic7 protein, variants thereof or small growth factors to achieve synergistic healing effect.",1
methods for depleting or inhibiting the migration of regulatory t-cells in early or late stages of cancer,the present disclosure provides methods of modulating regulatory t-cell activity and function.,1
compounds for use as iron(iii) mri contrast agents,"provided are macrocyclic compounds and compounds with two or more macrocyclic groups, iron coordinated macrocyclic compounds, and iron coordinated compounds with two or more macrocyclic groups. the iron is high-spin iron(iii). the iron coordinated compounds may exhibit a negative redox potential (e.g., relative to a normal hydrogen electrode at a biologically relevant ph, for example, a ph of 6.5-7.5). the compounds can be used as mri contrast agents.",1
hybrid additive-subtractive laser fabrication platform for shaping hydrogels,a hybrid laser printing (hlp) technology that utilizes ultrafast laser in sequential additive-subtractive modes to create 3d hydrogel constructs. the approach involves the synergistic use of additive crosslinking and subtractive ablation processes that are conventionally mutually exclusive. hlp can be operated at virtually any penetration depth and allow fabrication of multi-layer hydrogel constructs at micrometer resolution. hlp was used to print ready-to-use functional chips using commonly used hydrogels for potential cellular communication and migration applications. hlp was also found to be compatible with in situ printing of cell-laden hydrogel constructs. hlp makes shaping of soft hydrogels into 3d multi scale functional devices possible.,1
trna synthetase inhibitors,disclosed herein are secondary amine compounds that inhibit trna synthetase. the compounds of the invention are useful in inhibiting trna synthetase in gram-negative bacteria and are useful in killing gram-negative bacteria. the secondary amine compounds of the invention are also useful in the treatment of tuberculosis.,1
contoured electrode for capacitive micromachined ultrasonic transducer,"aspects of this disclosure relate to a capacitive micromachined ultrasonic transducer (cmut) with a contoured electrode. in certain embodiments, the cmut has a contoured electrode. the electrode may be non-planar to correspond to a deflected shape of the outer plate. a change in distance between the electrode and the plate after deflection may be greater than a minimum threshold across the width of the cmut.",1
inhibitors of the n-terminal domain of the androgen receptor,"the present disclosure provides compounds and methods for inhibiting or degrading the n-terminal domain of the androgen receptor, as well as methods for treating cancers such as prostate cancer.",1
mesoporous silica nanoparticles for diagnostic and therapeutic applications,"a system for delivering a therapeutic agent to cell or tissue of a subject includes a mesoporous silica iron oxide nanoparticle with one or more therapeutic agents that are contained in a mesoporous silica layer of the nanoparticle and a remote radiofrequency (rf) energy source for applying rf energy to the nanoparticle effective to release the one or more therapeutic agents from the nanoparticle by mechanical tumbling and/or vibration of the nanoparticle, wherein release of the one or more therapeutic agents not caused by a hyperthermic response of the nanoparticle to the rf energy.",1
ambulatory medical device data access management via wireless wide area network,"systems and methods presented herein relate to managing ambulatory medical device data access. a computing system of a networked computing environment can establish a direct end-to-end data connection to an ambulatory medical device via a wireless wide area network. a public key of the computing system may be transmitted to the ambulatory medical device permitting the ambulatory medical device to encrypt data to be transmitted to the computing system. the computing system may receive, via the direct end-to-end data connection, encrypted data from the ambulatory medical device, and upon decrypting the data can generate a therapy report based at least in part on the therapy data. this therapy report may include time-series therapy data relating to the therapy delivered by the ambulatory medical device over a particular time period. the computing system can restrict access to the therapy report to authorized users.",1
engineered liposomes as cancer-targeted therapeutics,"the disclosure provides liposomes (e.g., cancer-targeting liposomes) with ligands (e.g., egfr ligands and icam-1 ligands) conjugated to liposome surfaces. in some embodiments, the molecular ratio of different ligands complement the relative molecular density (i.e., ratio) of overexpressed protein on the surface of a cell targeted by the liposome (e.g., cancer cell).",1
continuous scanning for localization microscopy,"one aspect of the invention provides a method of continuously scanning with a localization microscope. the method includes: modifying a position of a sample relative to a field of view (fov) of the localization microscope to capture a plurality of image frames of the sample, each captured image frame having a limited fov; acquiring image frames with the localization microscope during at least one position modification; determining a set of localization position coordinates for at least one localizable object in the sample within at least one image frame of the plurality of image frames; determining one or more field of view (fov) position coordinates for the at least one image frame; and modifying the set of localization position coordinates based on the one or more fov position coordinates to produce a collection of coordinates covering a larger spatial region than the at least one image frame.",1
compositions and method of treating cancer,"the disclosure provides for compounds of the general structure: and methods of using and compositions comprising the compounds for treating infections, cancer and neoplastic diseases and disorders.",1
device and method for in vivo photoacoustic diagnosis and photothermal purging of infected blood,"a method of non-invasively detecting and purging bacterial cells using a modified photoacoustic in vivo flow cytometer device is described herein. in particular, a method of detecting bacterial cells by analyzing photoacoustic pulses emitted in response to laser pulses from a pulsed laser source and/or selectively destroying the detected bacterial cells using a non-linear photothermal response induced by a high-energy laser pulse is described herein.",1
immunoassay for human erythroferrone,"disclosed herein are antibodies that specifically bind human erythroferrone and assay methods for detecting and/or measuring human erythroferrone, analogs of human erythroferrone, and fragments thereof. specifically, the methods comprising using an antibody as a capture reagent and an antibody as a detection reagent for detecting or measuring a detectable label of the at least one detection reagent bound to the erythroferrone polypeptide that is bound to the capture reagent. further disclosed are the sequences of antibodies.",1
capillary electrophoresis inkjet dispensing,"devices, systems, and methods of using them are disclosed that position an end of a capillary electrophoresis tube within an internal tapered nozzle region of an inkjet print head or other microfluidic pump. the capillary electrophoresis tube can extend through an inlet of the microfluidic pump and leave space for a sheath liquid to enter the pump and mix with separated analytes eluted from the capillary electrophoresis tube. the small volume of mixed sheath liquid and analyte can then be jetted through the nozzle at a moving surface, either continuously or as discrete droplets. relative positions on the surface can indicate separation distances of dispensed analytes.",1
somatic mutations in atrx in brain cancer,"we determined the sequence of atrx and daxx in 447 cancers from various sites. we found mutations most commonly in pediatric glioblastoma multiformae (gbm) (11.1%), adult gbm (6.5%), oligodendrogliomas (7.7%) and medulloblastomas (1.5%); and showed that alternative lengthening of telomeres (alt), a telomerase-independent telomere maintenance mechanism found in cancers that have not activated telomerase, perfectly correlated with somatic mutations of either gene. in contrast, neuroblastomas, and adenocarcinomas of the ovary, breast, and pancreas were negative for mutations in atrx and daxx. alterations in atrx or daxx define a specific molecular pathway that is closely associated with an alternative telomere maintenance function in human cancers.",1
compositions and methods for identifying metabolically active agents,"the present invention relates to cells with altered cell cycle control. in particular, the present invention provides cells with altered cell cycle control and uses of such cells to identify metabolically active agents.",1
raav-based compositions and methods,"the invention relates to isolated nucleic acids and raav-based compositions, methods and kits useful for treating genetic diseases (e.g., alpha-1 antitrypsin deficiency).",1
compositions and methods for treating hepatic fibrosis,this disclosure provides pharmaceutical compositions and purified or isolated naturally occurring exosome products that have therapeutic use for treating an unmet medical need. the exosome compositions contain an effective amount of exosomes isolated from a body fluid of a non-diseased subject. the compositions are useful in the treatment of a variety of fibrotic diseases.,1
compositions and methods for modulating growth of a genetically modified gut bacterial cell,"compositions and methods are provided for modulating growth of a genetically modified bacterial cell present in a human organ, for modulating growth of a genetically modified bacterial cell in an organ (e.g., gut), for displacing at least a portion of a population of bacterial cells in an organ, and for facilitating gut colonization by a genetically modified bacterial cell. also provided are genetically modified bacterial cells, e.g., cells that include a heterologous carbohydrate-utilization gene or gene set that provides for the ability to utilize as a carbon source a rare carbohydrate of interest that is utilized as a carbon source by less than 50% of bacterial cells present in a human microbiome.",1
urethane-crosslinked biodegradable elastomers,"among other things, the present disclosure provides compositions and methods for an elastomeric cross-linked polyester material. such an elastomeric cross-linked polyester material, in some embodiments, comprises a plurality of polymeric units of the general formula (-a-b-)p, wherein p is an integer greater than 1; and a plurality of urethane cross-links each of which covalently links two polymeric units to one another, which two linked polymeric unit each had at least one free hydroxyl or amino group prior to formation of the crosslink.",1
method to enhance immunogenicity of live typhoid vaccines and carriers,"in certain embodiments, a recombinant attenuated derivative of a pathogenic salmonella enterica serovar typhi cell is provided, (a) wherein one or more genes encoding subunits of a stg operon (salmonella typhi δstg) are inactivated or deleted resulting in a decrease of stg adhesin/fimbriae production as compared to genes encoding a wild-type stg operon (stgabcc′d), and/or (b) the cell comprises a nucleic acid encoding at least one of a gene encoding a subunit of a long polar fimbriae (lpf) of s. enterica serovar typhimurium protein. in certain embodiments, vaccines and compositions, and methods of use of the recombinant attenuated derivative of a pathogenic salmonella enterica serovar typhi cell are provided.",1
bioorthogonal compositions,"cyclooctene conjugates of therapeutic or diagnostic agents have improved aqueous solubility and can release the agents upon contact with a tetrazine-containing biomaterial. the cyclooctene conjugates provide site-selective delivery of agents at the location of the tetrazine-containing biomaterial in a subject. the compositions and methods have applications in the treatment of various diseases or conditions including cancer, tumor growths, and bacterial infections.",1
oncolytic viruses targeting stat3,"this disclosure relates to modified viruses, e.g., oncolytic vaccinia viruses, which have been modified to contain an exogenous nucleic acid that expresses a protein that modulates stat3 activity. it is based, at least in part, on the discovery that vaccinia viruses modified to contain nucleic acid encoding pias3 and that express pias3 or a fragment thereof can inhibit stat3 activity and enhance the anti-cancer activity of the vaccinia virus. accordingly, this disclosure provides for oncolytic vaccinia viruses and methods of using them in the treatment of cancers.",1
use of mva or mvaδe3l as immunotherapeutic agents against solid tumors,"the present disclosure relates to modified vaccinia ankara (mva) virus or mvaδe3l delivered intratumorally or systemically as an anticancer immunotherapeutic agent, alone, or in combination with one or more immune checkpoint blocking agents for the treatment of malignant solid tumors. particular embodiments relate to mobilizing the host's immune system to mount an immune response against the tumor.",1
cancer treatment targeted to tumor adaptive responses to protein synthesis stress,"in cancers such as prostate cancer, the combination of pten loss and activation of myc activates an adaptive stress response that enables tumor cells to escape the stress of massively upregulated protein synthesis. this pro-survival response is mediated by the perk-phosphorylated eif2α axis of the upr adaptive response. agents that disrupt perk-eif2α pathways disrupt the adaptive response and lead to cancer cell death from uncontrolled growth. for example, isrib and derivatives may be employed as therapeutic agents to disrupt perk-mediated adaptive mechanisms. additionally pten loss and activation of myc provides a diagnostic marker that enables better prognosis and the selection of amenable treatments.",1
"flex-nucleoside analogues, novel therapeutics against filoviruses and flaviviruses","the present invention is directed to compounds, methods and compositions for treating or preventing viral infections using nucleosides analogs. specifically, the present invention provides for the design and synthesis of acyclic fleximer nucleoside analogues having increased flexibility and ability to alter their conformation structures to provide increased antiviral activity potential with the result of inhibiting flaviviruses, filoviruses and/or coronaviruses.",1
small molecule regulators of steroid receptor coactivators and methods of use thereof,"small molecule regulators of steroid receptor coactivator (src) family proteins are provided, as well as methods for their use in treating or preventing src-related diseases. the src-related diseases can include cancer, metabolic disorders, human immunodeficiency virus, neurodegenerative disorders, and/or inflammatory diseases. also provided are methods for regulating src family proteins in a cell.",1
"compounds, compositions and methods for preventing and/or treating chlorine inhalation toxicity and/or injury","the present invention includes compounds, compositions and methods for treating and/or preventing chlorine inhalation toxicity and/or injury in a subject subjected to chlorine inhalation.",1
magnetic resonance method for detecting molecular binding with enhanced sensitivity,"a method to detect transient binding of a substrate molecule of interest in solution to a molecular target includes selecting the substrate molecule of interest and the molecular target such that the substrate molecule of interest can transiently bind to the molecular target; placing one of a sample or a subject of interest in a magnetic resonance (mr) apparatus, the sample or the subject of interest containing the substrate molecule of interest so as to be in contact with the molecular target; providing magnetic labelling of non-exchangeable or slowly exchangeable mr sensitive nuclei of the substrate molecule of interest; receiving an mr signal from the mr sensitive nuclei of the solvent molecules using the mr apparatus; and analyzing the mr signal to obtain a quantity associated with the transient binding of the substrate molecule of interest to the molecular target.",1
visual cycle modulators,a method of treating an ocular disorder in a subject in need thereof includes administering to the subject a therapeutically effective amount of a retinal sequestering compound of formula (i).,1
detection of glucuronidated and 3-bromotyrosine,"the present invention to provides methods, kits, and compositions for: i) detecting the level of 3-bromotyrosine in a sample that has been treated to liberate 3-bromotyrosine from 4-o-glucuronide-3-bromotyrosine, and/or ii) detecting the level of 4-o-glucuronide-3-bromotyrosine, and/or the combined level of both 4-o-glucuronide-3-bromotyrosine and 3-bromotyrosine, in a sample that has not been treated to liberate 3-bromotyrosine from 4-o-glucuronide-3-bromotyrosine. in certain embodiments, such detected levels are used to: i) identify the presence, severity, or risk of an eosinophilic disorder (e.g., asthma or a th2-high eosinophilic disorder); ii) identify therapy effective for treating asthma or an eosinophilic disorder; or iii) identify patients suitable for treatment with therapeutic agents targeted to asthma or an eosinophilic disorder.",1
detection of misfolded tau protein,"methods and kits are provided for amplifying and detecting misfolded tau protein from samples, for example, from patients having tauopathies such as alzheimer's disease, progressive supranuclear palsy, and the like.",1
synthetic long read dna sequencing,"the disclosure describes a method for sequencing long portions of dna sequence by assembling a plurality of shorter polynucleotide reads. generally, the method includes annealing a plurality of primers to a denatured dna molecule, appending a barcode polynucleotide to the 5′ end of the primer, subjecting the dna molecules to a plurality of cycles of (1) pooling, (2) dividing, and (3) appending a barcode polynucleotide to the 5′ end of the primer, sequencing the barcode polynucleotides and the genomic dna, and assembling the short read polynucleotide sequences having identical barcode polynucleotides.",1
particle emission tomography,"the present invention provides autoradiography methods and systems for imaging via the detection of alpha particles, beta particles, or other charged particles. embodiments of the methods and systems provide high-resolution 3d imaging of the distribution of a radioactive probe, such as a radiopharmaceutical, on a tissue sample. embodiments of the present methods and systems provide imaging of tissue samples by reconstruction of a 3d distribution of a source of particles, such as a radiopharmaceutical. embodiments of the methods and systems provide tomographic methods including microtomography, macrotomography, cryomicrotomography and cryomacrotomography.",1
functionalized chromophoric polymer dots and bioconjugates thereof,"the present invention provides, among other aspects, functionalized chromophoric polymer dots comprising a hydrophobic core and a hydrophilic cap, and bioconjugates thereof. also provided are improved methods for preparing functionalized chromophoric polymer dots. methods for in vivo imaging and molecular labeling are also disclosed.",1
claudin 6 antibodies and uses thereof,antibodies and compositions against claudin 6 and uses thereof are provided.,1
mutant tumor necrosis factor receptor superfamily (tnfsfr) ligands and methods of making and using same,"methods for constructing efficient inhibitors of target tnf superfamily receptors, single chain target tnf superfamily ligands that inhibit of target tnf superfamily receptors while failing to engage or inhibit non-target tnf superfamily receptors, and methods of their use to treat diseases are provided. single chain rankl, tnf, and trail ligands that effectively inhibit their target receptors while failing to inhibit non-target tnf superfamily receptors are also provided.",1
degradation of cyclin-dependent kinase 8 (cdk8) by conjugation of cdk8 inhibitors with e3 ligase ligand and methods of use,"the present application provides bifunctional compounds of formula (ia) or (ib): or a pharmaceutically acceptable salt, hydrate, solvate, prodrug, stereoisomer, or tautomer thereof, which act as protein degradation inducing moieties for cyclin-dependent kinase 8 (cdk8). the present application also relates to methods for the targeted degradation of cdk8 through the use of the bifunctional compounds that link a ubiquitin ligase-binding moiety to a ligand that is capable of binding to cdk8 which can be utilized in the treatment of disorders modulated by cdk8.",1
desmoglein 2 (dsg2) binding proteins and uses therefor,the present invention provides recombinant adenoviral compositions and methods for their use in treating disorders associated with epithelial tissues.,1
selective inhibition of gluconeogenic activity,"the present invention provides compounds, pharmaceutical compositions and methods for treating and/or preventing a metabolic condition, such as diabetes.",1
"compositions and methods for treating toxoplasmosis, cryptosporidiosis, and other apicomplexan protozoan related diseases","compositions and methods for the treatment of toxoplasmosis, caused by the infectious eukaryotic parasite toxoplasma gondii (t. gondii) and for the treatment of cryptosporidiosis, caused by the infectious eukaryotic parasites cryptosporidium parvum (c. parvum) and cryptosporidium hominus (c. hominus) are described. in particular, the present disclosure is directed to compositions and methods for inhibiting either t. gondii calcium dependent protein kinases (tgcdpks) or c. parvum and c. hominus calcium dependent protein kinases (cpcdpks) using pyrazolopyrimidine and/or imidazo[1,5-a]pyrazine inhibitors, of the formula, wherein the variables x, y, z, l, r1, and r3 are defined herein.",1
surface-modified interfaces of pneumatic valves with enhanced electrical properties,"surface-modified glass and polymer membrane interfaces form high-electrical resistance seals that can be used in microfluidic valves and array devices tailored for electrophysiological measurements. the incorporation of high seal resistance valves into the array device allows only the desired electrophysiological signal to be detected by a patch clamp amplifier, enabling parallel experiments with one patch clamp amplifier, which can greatly improve the cost efficiency. to achieve the desired high seal resistance, surface modification was performed on the glass components to increase the interaction between the glass and the membrane surfaces. the valves exhibit seal resistance of >500 gω after modification, which is 100× higher than reported for unmodified valves.",1
small molecule inhibitors of lactate dehydrogenase and methods of use thereof,"provided is a compound of formula (i), in which ar1, r1, u, v, w, x, and p are as described herein. also provided are methods of using a compound of formula (i), including a method of treating cancer, a method of treating a patient with cancer cells resistant to an anti-cancer agent, and a method of inhibiting lactate dehydrogenase a (ldha) and/or lactate dehydrogenase b (ldhb) activity in a cell.",1
compositions comprising albumin-fms-like tyrosine kinase 3 ligand fusion proteins and uses thereof,"the present invention provides a novel fusion protein of flt3l and albumin and its use to increase the flt3l half-life in vivo and to deliver flt3l to immune cells in a subject to enhance alternative dendritic cell populations. use of the fusion protein in combination with other chemotherapeutic, radiotherapeutic and immunotherapeutic methods are also provided.",1
methods of treatment using ultrasmall nanoparticles to induce cell death of nutrient-deprived cancer cells via ferroptosis,"described herein is a method of induced cell death via ferroptosis by nanoparticle ingestion. moreover, the present disclosure describes the administration of high concentrations of ultrasmall nanoparticles at multiple times over the course of treatment in combination with a nutrient-depleted environment, thereby modulating cellular metabolic pathways to induce cell death by the mechanism ferroptosis. ferroptosis involves iron, reactive oxygen species, and a synchronous mode of cell death execution.",1
peptides whose uptake in cells is controllable,"disclosed herein, in certain embodiments, is a selective transport molecule with increased in vivo circulation. in some embodiments, a selective transport molecule disclosed herein has the formula (a-x-b-c)-m, wherein c is a cargo moiety; a is a peptide with a sequence comprising 5 to 9 consecutive acidic amino acids, wherein the amino acids are selected from: aspartates and glutamates; b is a peptide with a sequence comprising 5 to 20 consecutive basic amino acids; x is a linker; and m is a macromolecular carrier.",1
anti-fungal inhibitors,"described herein are methods of treating or preventing a fungal infection by administering one or more compounds of the present invention to a subject. the methods of the present invention treat or prevent a fungal infection of c. neoformans, c. gattii, l. prolificans, c. albicans, or a combination thereof, as examples. the compounds of the present invention may be administered to a subject with other agents such as antifungal agents.",1
methods of treating resistant cancers,"provided herein is a method for reducing resistance in an individual having a drug resistant cancer, for example, a braf inhibitor resistant cancer. a hippo signaling pathway inhibitor such as a yes-associated protein 1 (yap1) inhibitor, a transcriptional coactivator with pdz-binding motif (taz) inhibitor, a transcription enhancer domain (tead) inhibitor or a combination of these is administered. also provided is a method of treating braf inhibitor resistance in an individual with a braf inhibitor resistant cancer, for example, malignant melanoma, with a hippo signaling pathway inhibitor, such as verteporfin, and a braf inhibitor.",1
ozonides for treating or preventing virus infections,described are methods of treating or preventing a virus in a subject comprising administering ozonides to the subject.,1
enhanced measurements of bioimpedance,a portable device for measuring a bioimpedance-related property of tissue includes a plurality of electrodes arranged in a pattern on a surface and associated software for measuring bio-impedance related data of localized regions of tissue and calculate health-related parameters based on the measured data. these calculated parameters may be representative of muscular health of the localized tissue region.,1
"systems, devices and methods for non-invasive hematological measurements","a system for non-invasive hematological measurements includes a platform to receive a body portion of a user and an imaging device to acquire a set of images of a capillary bed in the body portion. for each image, a controller detects one or more capillaries in the body portion of the finger to identify a first set of capillaries by estimating one or more attributes of each capillary (e.g., structural attributes, flow attributes, imaging attributes, or combinations thereof), wherein at least one attribute of each capillary meets a predetermined criterion. the controller also identifies a second set of capillaries from the first set of capillaries such that each capillary of the second set of capillaries is visible in a predetermined number of images of the set of images.",1
advanced electronic instrumentation for electrical impedance myography,"embodiments of devices and methods for evaluating tissue are disclosed. in one embodiment, a method for measuring a characteristic of a tissue may include passing a current through the tissue, measuring a signal corresponding to the voltage resulting from passing the current through the tissue, analyzing current passed through the tissue and resulting voltage to determine the electrical characteristics of the tissue; and analyzing the electrical characteristics of the tissue to determine a status of the tissue. disposable sensors are disclosed.",1
methods and compositions for rapidly replacing cardiac myosin binding protein-c in sarcomeres,"methods and compositions for rapidly replacing cmybp-c in sarcomeres featuring the creation of spy-c mice, which are mice genetically engineered to express cmybp-c with a protease recognition site and spytag peptide introduced into the cmybp-c gene. in permeabilized myocytes from the spy-c mice, the cmybp-c protein can be cleaved at the protease recognition site, and the n-terminus of cmybp-c can be removed while the c-terminus remains anchored to the thick filament. a new peptide featuring the spycatcher sequence can be covalently bonded to the remaining portion of cmybp-c, thereby creating a modified cmybp-c protein. the methods and compositions of the present invention allow for the reconstitution of full-length cmybp-c at the precise position of native cmybp-c in the sarcomere and allow for a variety of modifications to be introduced to cmybp-c in situ.",1
vaccinia virus mutants useful for cancer immunotherapy,"disclosed herein are methods and compositions related to the treatment, prevention, and/or amelioration of cancer in a subject in need thereof. in particular aspects, the present technology relates to the use of poxviruses, including a recombinant modified vaccinia ankara (mva) virus or vaccinia virus with deletion of vaccinia host-range factor c7 (mvaδc7l and vacvδc7l, respectively), alone or in combination with immune checkpoint blocking agents, as an oncolytic and immunotherapeutic composition. in some embodiments, the technology of the present disclosure relates to a mvaδc7l or vacvδc7l virus further modified to express human fms-like tyrosine kinase 3 ligand (flt3l).",1
chemical inhibition of the e3 ligase subunit fbxo7 confers neuroprotection and anti-inflammatory activity by stabilizing mitochondria,"a method for treating a neurodegenerative disease or an inflammatory disorder in a subject, comprising administering to the subject in need thereof, a compound, or a pharmaceutically acceptable salt thereof, of formula ii: wherein each of r3-r7 is independently h, halogen, optionally-substituted alkyl, amino, alkoxy or hydroxy; r8 is an optionally-substituted heterocycloalkyl; and a is 0 to 3.",1
analgesic compounds,"disclosed herein are compounds of formulae (ia), (ib), (ic), (id), (ie), (if), (ig), (ih), (ik), (im), (in), (io), (ip), (iq), (ir), (is) and (it), methods of synthesizing compounds of formulae (ia), (ib), (ic), (id), (ie), (if), (ig), (ih), (ik), (im), (in), (io), (ip), (iq), (ir), (is) and (it), and methods of using compounds of formulae (ia), (ib), (ic), (id), (ie), (if), (ig), (ih), (ik), (im), (in), (io), (ip), (iq), (ir), (is) and (it) as an analgesic.",1
"systems and methods for preventing, mitigating, and/or treating dementia","devices, systems, and methods for a treating dementia or alzheimer's disease in a subject in need thereof. in one example, combined auditory and visual stimuli having a frequency of about 20 hz to about 60 hz, and more specifically about 40 hz, are non-invasively delivered to the subject to induce synchronized gamma oscillations in at least one brain region of the subject. in particular, pursuant to various treatment and exposure protocols, combined auditory and visual stimulation (as opposed to auditory or visual stimulation alone) promotes a microglia response in the medial prefrontal cortex (mpfc). more generally, combined auditory and visual stimulation induces an extended microglia clustering response in the auditory cortex, the visual cortex, and the mpfc.",1
okra as a substitute for cervical mucus,"artificial cervical fluid is disclosed that contains a mucilaginous extract from the okra plant. the mucilaginous extract can be produced using a hot aqueous extractant or cold extraction process followed by separation of larger particles from the extract. the extract finds many uses, for example as a sperm storage medium, a sperm freezing medium, a sexual lubricant, an artificial insemination medium, and an in vitro fertilization medium.",1
nucleoside-modified rna for inducing an immune response against zika virus,"the present invention relates to compositions and methods for inducing an adaptive immune response against zika virus (zikv) in a subject. in certain embodiments, the present invention provides a composition comprising a nucleoside-modified nucleic acid molecule encoding a zikv antigen, adjuvant, or a combination thereof. for example, in certain embodiments, the composition comprises a vaccine comprising a nucleoside-modified nucleic acid molecule encoding a zikv antigen, adjuvant, or a combination thereof.",1
"oral delivery of angiotensin converting enzyme 2 (ace2) or angiotensin-(1-7)-bioencapsulated in plant cells attenuates pulmonary hypertension, cardiac dysfunction and development of autoimmune and experimentally induced ocular disorders","emerging evidence indicates that diminished activity of the vasoprotective axis of the renin-angiotensin system, constituting angiotensin converting enzyme2 (ace2) and its enzymatic product, angiotensin-(1-7) [ang-(1-7)] contribute to pulmonary hypertension (ph). however, clinical success for long-term delivery of ace2 or ang-(1-7) would require stability and ease of administration to increase patient compliance. chloroplast expression of therapeutic proteins enables their bioencapsulation within plant cells to protect from acids and gastric enzymes; fusion to a transmucosal carrier facilitates effective systemic absorption. oral feeding of rats with bioencapsulated ace2 or ang-(1-7) attenuated monocrotaline (mct)-induced increase in right ventricular systolic pressure, decreased pulmonary vessel wall thickness and improved right heart function in both prevention and reversal protocols. furthermore, combination of ace2 and ang-(1-7) augmented the beneficial effects against cardio-pulmonary pathophysiology induced by mct administration. experiments have also been performed which indicate that this approach is also suitable for the treatment or inhibition of experimental uveitis and autoimmune uveoretinitis these studies provide proof-of-concept for a novel low-cost oral ace2 or ang-(1-7) delivery system using transplastomic technology for pulmonary and ocular disease therapeutics.",1
methods for modulation of dietary and microbial exposure with compositions comprising an egfr ligand,"among the various aspects of the present disclosure is the provision of compositions and methods for modulation of dietary and microbial exposure. the present disclosure provides for compositions and methods for treating, preventing, or reducing the likelihood of development of an allergic disorder, necrotizing enterocolitis, sepsis, or an inflammatory disease, disorder, or condition in a subject including administering an effective amount of a composition comprising an egfr ligand.",1
autophagy inducers for treatment of cns conditions,"the invention provides a compound of formula (i): wherein r1, r2, r3, and r4 are as defined herein, ginsenoside rg2 of structure (ii): or a combination thereof, for use in treating or preventing a condition responsive to the induction of autophagy in a brain of a mammal in need thereof.",1
compositions and methods for improving cognition in a subject,"the present invention provides compositions and methods for treating and preventing an aβ-modulated disease and/or a tauopathy. in certain embodiments, the invention provides an inhibitor of fyn tyrosine kinase, and methods of using the same. in certain embodiments, the inhibitor of the invention inhibits aβ oligomer induced signaling and reduces or halts the progression of alzheimer's disease.",1
monitor for blood pressure and other arterial properties,"a method and apparatus for monitoring arterial properties, including systolic and diastolic pressure levels, of a subject is provided, in which a hardware processor receives and analyzes ballistocardiogram (bcg) data of the subject. a non-transient computer readable medium, accessible by the hardware processor, contains instructions that, when executed by the hardware processor, identify features of the bcg waveform and determine the arterial properties therefrom. for example, a diastolic pressure level may be determined from a time interval between the ‘i’ and ‘j’ peaks of the waveform and a systolic pressure level determined from the amplitude difference between the ‘j’ and ‘k’ peaks of the waveform in combination with the ‘i-j’ time interval or amplitude difference. a physical mechanism for the bcg data is disclosed that enables other arterial properties of the subject to be determined from the bcg data alone or from the bcg data in combination with other measurements.",1
measuring blood vessel characteristics with mri,"aspects of the subject disclosure may include, for example, obtaining first magnetic resonance imaging (mri) data of a subject, wherein the first mri data is obtained during a first scan of a subject, wherein the first scan has a first diffusion sampling time, and wherein the first diffusion sampling time is selected in order to facilitate use of the first mri data to determine a first intravoxel incoherent motion (ivim) effective diffusion coefficient in a stationary random flow (srf) regime; obtaining second mri data of the subject, wherein the second mri data is obtained during a second scan of the subject, wherein the second scan has a second diffusion sampling time, wherein the second diffusion sampling time is longer than the first diffusion sampling time, and wherein the second diffusion sampling time is selected in order to facilitate use of the second mri data to determine a second ivim effective diffusion coefficient in a pseudodiffusion regime; determining a blood velocity value based upon the first mri data; and determining a segment length value based upon the second mri data. additional embodiments are disclosed.",1
self-decoupled rf coil array for mri,a self-decoupled rf coil and method for adjusting the same is disclosed. the rf coil is an array of elements including at least one loop. electromagnetic coupling between elements in the array causes an induced current in the at least one loop. the induced current has two modes. a reactance inserted in the at least one loop balances the two modes. the balanced current modes cancel. this cancelation results in self-decoupling of at the least one loop from the other elements in the rf coil array.,1
predicting response to therapy for adult and pediatric crohn's disease using radiomic features of mesenteric fat regions on baseline magnetic resonance enterography,"embodiments discussed herein facilitate predicting response to therapy in crohn's disease. a first set of embodiments discussed herein relates to accessing a radiological image of a region of tissue demonstrating crohn's disease associated with a patient; defining a mesenteric fat region by segmenting mesenteric fat represented in the radiological image; extracting a set of radiomic features from the mesenteric fat region; providing the set of radiomic features to a machine learning classifier configured to compute a probability of response to therapy in crohn's disease based, at least in part, on the set of radiomic features; receiving, from the machine learning classifier, a probability that the region of tissue will respond to therapy; generating a classification of the patient as a responder or non-responder based, at least in part, on the probability; and displaying the classification.",1
collection probe and methods for the use thereof,"method and devices are provided for assessing tissue samples from a plurality of tissue sites in a subject using molecular analysis. in certain aspects, devices of the embodiments allow for the collection of liquid tissue samples and delivery of the samples for mass spectrometry analysis.",1
computer aided diagnosis system for classifying kidneys,"a computer aided diagnostic system and automated method to classify a kidney utilizes medical image data and clinical biomarkers in evaluation of kidney function pre- and post-transplantation. the system receives image data from a medical scan that includes image data of a kidney, then segments kidney image data from other image data of the medical scan. the kidney is then classified by analyzing at least one feature determined from the kidney image data and the at least one clinical biomarker.",1
